sample_id,MCI,SCI,ASI,Label
SRR2855280,3.804,0.00,0.0000,Moderately Disturbed
SRR2855775,2.264,0.00,0.0000,Moderately Disturbed
SRR2855893,0.000,0.00,0.0000,Stable
SRR2855896,3.229,0.00,0.0000,Moderately Disturbed
SRR2855899,0.000,0.00,0.0000,Stable
SRR2855901,2.171,0.00,0.0000,Moderately Disturbed
SRR2855903,0.000,0.00,0.0000,Moderately Disturbed
SRR2856423,2.144,0.00,0.0000,Moderately Disturbed
SRR2856424,0.000,0.00,0.0000,Stable
SRR2856425,2.181,0.00,0.0000,Moderately Disturbed
SRR2856446,6.692,0.00,0.0000,Moderately Disturbed
SRR2856449,0.000,0.00,0.0000,Moderately Disturbed
SRR2856450,3.138,0.00,0.0000,Moderately Disturbed
SRR2856451,0.000,0.00,0.0000,Stable
SRR2856453,2.172,0.00,0.0000,Moderately Disturbed
SRR2856454,0.000,0.00,0.0000,Stable
SRR2856455,2.190,0.00,0.0000,Moderately Disturbed
SRR2856456,0.000,0.00,0.0000,Moderately Disturbed
SRR2856457,2.186,0.00,0.0000,Moderately Disturbed
SRR2856620,0.000,0.00,0.0000,Stable
SRR2856994,2.168,0.00,0.0000,Moderately Disturbed
SRR7528877,6.746,2.222,0.0708,Moderately Disturbed
SRR7528878,4.895,0.000,0.0019,Moderately Disturbed
SRR7528879,3.349,0.000,0.0502,Moderately Disturbed
SRR7528880,3.295,0.000,0.0244,Moderately Disturbed
SRR7528881,7.604,2.222,0.0150,Moderately Disturbed
